Date,Time,User Full Name *Anonymized
10/11/2023 00:00, 00:03:36,26
10/11/2023 00:00, 00:03:36,26
15/10/2023 00:00, 00:03:39,28
13/10/2023 00:00, 00:03:40,41
13/10/2023 00:00, 00:03:41,41
10/11/2023 00:00, 00:03:44,26
10/11/2023 00:00, 00:03:44,26
12/11/2023 00:00, 00:03:44,98
12/11/2023 00:00, 00:03:44,98
12/10/2023 00:00, 00:03:47,110
12/10/2023 00:00, 00:03:47,110
12/10/2023 00:00, 00:03:51,110
08/11/2023 00:00, 00:03:51,148
08/11/2023 00:00, 00:03:52,148
08/11/2023 00:00, 00:03:52,148
10/11/2023 00:00, 00:03:52,26
10/11/2023 00:00, 00:03:52,26
11/11/2023 00:00, 00:03:52,129
15/12/2023 00:00, 00:03:53,128
13/10/2023 00:00, 00:03:55,41
13/10/2023 00:00, 00:03:55,41
13/10/2023 00:00, 00:03:55,41
13/10/2023 00:00, 00:03:55,41
13/10/2023 00:00, 00:03:55,41
13/10/2023 00:00, 00:03:55,41
12/10/2023 00:00, 00:03:56,110
12/10/2023 00:00, 00:03:56,110
12/10/2023 00:00, 00:03:56,110
13/10/2023 00:00, 00:03:56,41
11/11/2023 00:00, 00:03:58,129
11/11/2023 00:00, 00:03:58,129
12/10/2023 00:00, 00:03:59,110
12/11/2023 00:00, 00:03:59,98
12/10/2023 00:00, 00:04:05,110
12/11/2023 00:00, 00:04:05,98
14/12/2023 00:00, 00:04:05,92
14/12/2023 00:00, 00:04:05,92
12/10/2023 00:00, 00:04:06,110
12/10/2023 00:00, 00:04:06,110
12/11/2023 00:00, 00:04:06,98
12/10/2023 00:00, 00:04:09,110
12/11/2023 00:00, 00:04:09,98
11/11/2023 00:00, 00:04:10,129
10/11/2023 00:00, 00:04:12,26
10/11/2023 00:00, 00:04:12,26
12/11/2023 00:00, 00:04:12,98
11/11/2023 00:00, 00:04:17,129
11/11/2023 00:00, 00:04:17,129
14/12/2023 00:00, 00:04:17,92
14/12/2023 00:00, 00:04:20,92
14/12/2023 00:00, 00:04:20,92
13/10/2023 00:00, 00:04:21,41
12/11/2023 00:00, 00:04:21,98
15/12/2023 00:00, 00:04:27,128
13/10/2023 00:00, 00:04:28,41
13/10/2023 00:00, 00:04:28,41
18/10/2023 00:00, 00:04:28,18
15/12/2023 00:00, 00:04:32,128
13/10/2023 00:00, 00:04:35,41
23/11/2023 00:00, 00:04:37,16
11/10/2023 00:00, 00:04:43,45
11/10/2023 00:00, 00:04:44,45
11/10/2023 00:00, 00:04:44,45
13/10/2023 00:00, 00:04:46,41
13/10/2023 00:00, 00:04:46,41
13/10/2023 00:00, 00:04:52,41
13/10/2023 00:00, 00:04:52,41
10/11/2023 00:00, 00:04:54,26
10/11/2023 00:00, 00:04:55,26
11/10/2023 00:00, 00:04:57,45
11/10/2023 00:00, 00:04:57,45
11/10/2023 00:00, 00:04:59,45
15/12/2023 00:00, 00:05:00,128
15/12/2023 00:00, 00:05:00,128
27/09/2023 00:00, 00:05:01,110
27/09/2023 00:00, 00:05:06,110
11/11/2023 00:00, 00:05:13,129
11/10/2023 00:00, 00:05:14,129
11/11/2023 00:00, 00:05:14,129
08/12/2023 00:00, 00:05:15,45
16/12/2023 00:00, 00:05:15,129
13/10/2023 00:00, 00:05:17,41
13/10/2023 00:00, 00:05:18,41
08/12/2023 00:00, 00:05:18,45
15/12/2023 00:00, 00:05:18,128
10/11/2023 00:00, 00:05:20,26
15/12/2023 00:00, 00:05:20,128
10/11/2023 00:00, 00:05:21,26
10/11/2023 00:00, 00:05:27,26
10/11/2023 00:00, 00:05:27,26
08/12/2023 00:00, 00:05:27,45
10/11/2023 00:00, 00:05:30,26
10/11/2023 00:00, 00:05:30,26
10/11/2023 00:00, 00:05:30,26
12/12/2023 00:00, 00:05:33,145
09/10/2023 00:00, 00:05:35,122
12/12/2023 00:00, 00:05:36,145
12/12/2023 00:00, 00:05:42,145
14/12/2023 00:00, 00:05:43,92
14/12/2023 00:00, 00:05:43,92
11/11/2023 00:00, 00:05:46,129
11/11/2023 00:00, 00:05:46,129
11/11/2023 00:00, 00:05:46,129
11/11/2023 00:00, 00:05:46,129
11/11/2023 00:00, 00:05:46,129
11/11/2023 00:00, 00:05:46,129
15/12/2023 00:00, 00:05:54,128
03/10/2023 00:00, 00:05:56,94
14/12/2023 00:00, 00:05:57,92
14/12/2023 00:00, 00:05:57,92
14/12/2023 00:00, 00:05:57,92
14/12/2023 00:00, 00:05:57,92
09/10/2023 00:00, 00:05:58,122
14/12/2023 00:00, 00:05:58,92
14/12/2023 00:00, 00:05:58,92
11/10/2023 00:00, 00:06:01,129
03/10/2023 00:00, 00:06:04,94
11/10/2023 00:00, 00:06:08,129
05/11/2023 00:00, 00:06:11,144
14/12/2023 00:00, 00:06:11,92
14/12/2023 00:00, 00:06:11,92
03/10/2023 00:00, 00:06:12,94
05/11/2023 00:00, 00:06:14,144
05/11/2023 00:00, 00:06:15,144
14/12/2023 00:00, 00:06:15,92
05/11/2023 00:00, 00:06:17,144
05/11/2023 00:00, 00:06:17,144
05/11/2023 00:00, 00:06:17,144
05/11/2023 00:00, 00:06:18,144
05/11/2023 00:00, 00:06:19,144
11/11/2023 00:00, 00:06:19,129
05/11/2023 00:00, 00:06:20,144
14/12/2023 00:00, 00:06:21,92
13/10/2023 00:00, 00:06:24,129
11/11/2023 00:00, 00:06:24,129
14/12/2023 00:00, 00:06:24,92
14/12/2023 00:00, 00:06:24,92
11/11/2023 00:00, 00:06:25,129
14/12/2023 00:00, 00:06:28,92
15/12/2023 00:00, 00:06:28,128
07/11/2023 00:00, 00:06:30,31
14/12/2023 00:00, 00:06:30,92
14/12/2023 00:00, 00:06:30,92
15/12/2023 00:00, 00:06:31,128
14/12/2023 00:00, 00:06:33,92
15/12/2023 00:00, 00:06:34,128
07/11/2023 00:00, 00:06:36,31
07/11/2023 00:00, 00:06:36,31
